"IDVenta","Unidades","Ingresos por productos (MXN)","Cargo por venta e impuestos","Costos de envío","Total (MXN)","Venta por publicidad","IDproducto","Canal de venta","Precio unitario de venta de la publicación (MXN)","Municipio/Alcaldía","Estado","Código postal","Forma de entrega","Transportista","Fecha Venta","FechaCamino","FechaEntrega"
"2000003792874955",2,370.5,-134.320007324219,0,236.179992675781,"Sí","MLM803274004","Mercado Libre",185.25,"Naucalpan","Estado De México",53240,"Correo y puntos de despacho","Mercado Envios","03/09/2022","2022/09/06 00:00:00","2022/09/06 00:00:00"
"2000003792773909",1,155,-60.2799987792969,0,94.7200012207031,"Sí","MLM797897673","Mercado Libre",155,"Tecamac","Estado De México",55767,"Mercado Envíos Full","Mercado Envios","03/09/2022","2022/09/04 00:00:00","2022/09/04 00:00:00"
"2000003792728941",1,155,-60.2799987792969,0,94.7200012207031,"Sí","MLM797897673","Mercado Libre",155,"Naucalpan","Estado De México",53530,"Mercado Envíos Full","Mercado Envios","03/09/2022","2022/09/04 00:00:00","2022/09/04 00:00:00"
"2000003792532637",2,310,-120.550003051758,0,189.449996948242,"No","MLM797897673","Mercado Libre",155,"Celaya","Guanajuato",38010,"Mercado Envíos Full","Mercado Envios","03/09/2022","2022/09/04 00:00:00","2022/09/04 00:00:00"
"2000003792306873",2,370,-134.210006713867,0,235.789993286133,"Sí","MLM797896213","Mercado Libre",185,"Zacapoaxtla","Puebla",73680,"Mercado Envíos Full","Mercado Envios","03/09/2022","2022/09/03 00:00:00","2022/09/05 00:00:00"
"2000003791971249",1,185,-67.0999984741211,0,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Azcapotzalco","Distrito Federal",2090,"Mercado Envíos Full","Mercado Envios","03/09/2022","2022/09/03 00:00:00","2022/09/03 00:00:00"
"2000003791927601",1,185,-67.0999984741211,0,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Gustavo A. Madero","Distrito Federal",7250,"Mercado Envíos Full","Mercado Envios","03/09/2022","2022/09/04 00:00:00","2022/09/04 00:00:00"
"2000003791418641",1,185,-67.0999984741211,0,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Gustavo A. Madero","Distrito Federal",7770,"Mercado Envíos Full","Mercado Envios","02/09/2022","2022/09/03 00:00:00","2022/09/03 00:00:00"
"2000003791315325",2,332.5,-125.680000305176,0,206.820007324219,"Sí","MLM775876787","Mercado Libre",166.25,"Nezahualcoyotl","Estado De México",57000,"Mercado Envíos Full","Mercado Envios","02/09/2022","2022/09/03 00:00:00","2022/09/03 00:00:00"
"2000004146543276",1,185,-67.0999984741211,-97,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Guadalajara","Jalisco",44130,"Mercado Envíos Full","Mercado Envios","02/09/2022","2022/09/04 00:00:00","2022/09/05 00:00:00"
"2000003790985147",1,185,-67.0999984741211,0,117.900001525879,"No","MLM797896213","Mercado Libre",185,"Naucalpan","Estado De México",53100,"Mercado Envíos Full","Mercado Envios","02/09/2022","2022/09/03 00:00:00","2022/09/03 00:00:00"
"2000003790872265",1,185,-67.0999984741211,-9.90999984741211,117.900001525879,"No","MLM797896213","Mercado Libre",185,"Martínez De La Torre","Veracruz",93613,"Mercado Envíos Full","Mercado Envios","02/09/2022","2022/09/03 00:00:00","2022/09/03 00:00:00"
"2000003790824951",1,295,-92.129997253418,0,202.869995117188,"Sí","MLM937274388","Mercado Libre",295,"Guadalupe","Nuevo León",67190,"Mercado Envíos Full","Mercado Envios","02/09/2022","2022/09/03 00:00:00","2022/09/04 00:00:00"
"2000003790539203",6,930,-361.660003662109,0,568.340026855469,"Sí","MLM797897673","Mercado Libre",155,"Durango","Durango",34000,"Mercado Envíos Full","Mercado Envios","02/09/2022","2022/09/02 00:00:00","2022/09/03 00:00:00"
"2000004144605600",1,185,-67.0999984741211,-115,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Culiacán","Sinaloa",80058,"Mercado Envíos Full","Mercado Envios","02/09/2022","2022/09/02 00:00:00","2022/09/03 00:00:00"
"2000003790389445",1,185,-67.0999984741211,0,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Gustavo A. Madero","Distrito Federal",7700,"Mercado Envíos Full","Mercado Envios","02/09/2022","2022/09/03 00:00:00","2022/09/03 00:00:00"
"2000003790133871",1,185,-67.0999984741211,0,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Xalapa","Veracruz",91070,"Mercado Envíos Full","Mercado Envios","02/09/2022","2022/09/02 00:00:00","2022/09/03 00:00:00"
"2000003790104807",2,370,-134.210006713867,0,235.789993286133,"Sí","MLM797896213","Mercado Libre",185,"Naucalpan","Estado De México",53240,"Mercado Envíos Full","Mercado Envios","02/09/2022","2022/09/02 00:00:00","2022/09/02 00:00:00"
"2000004143049250",1,185,-67.0999984741211,-98,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Xalapa","Veracruz",91180,"Mercado Envíos Full","Mercado Envios","02/09/2022","2022/09/02 00:00:00","2022/09/03 00:00:00"
"2000003789755393",1,185,-67.0999984741211,0,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Nezahualcoyotl","Estado De México",57000,"Mercado Envíos Full","Mercado Envios","02/09/2022","2022/09/02 00:00:00","2022/09/02 00:00:00"
"2000004142708726",1,185.25,-67.1699981689453,-97,118.080001831055,"No","MLM803274004","Mercado Libre",185.25,"San Miguel El Alto","Jalisco",47146,"Correo y puntos de despacho","Mercado Envios","02/09/2022","2022/09/02 00:00:00","2022/09/03 00:00:00"
"2000003789405429",1,155,-60.2799987792969,0,94.7200012207031,"No","MLM797897673","Mercado Libre",155,"Culiacán","Sinaloa",80143,"Mercado Envíos Full","Mercado Envios","02/09/2022","2022/09/02 00:00:00","2022/09/03 00:00:00"
"2000004141668284",1,185.25,-67.1699981689453,-99,118.080001831055,"No","MLM803274004","Mercado Libre",185.25,"Reynosa","Tamaulipas",88788,"Correo y puntos de despacho","Mercado Envios","01/09/2022","2022/09/02 00:00:00","2022/09/05 00:00:00"
"2000003789101799",1,185,-67.0999984741211,0,117.900001525879,"No","MLM797896213","Mercado Libre",185,"Nicolás Romero","Estado De México",54457,"Mercado Envíos Full","Mercado Envios","01/09/2022","2022/09/02 00:00:00","2022/09/02 00:00:00"
"2000003788715491",2,370,-134.210006713867,0,235.789993286133,"Sí","MLM797896213","Mercado Libre",185,"Ixtapaluca","Estado De México",56579,"Mercado Envíos Full","Mercado Envios","01/09/2022","2022/09/02 00:00:00","2022/09/02 00:00:00"
"2000004139800520",1,283.1,-89.4199981689453,-91,193.679992675781,"Sí","MLM759252135","Mercado Libre",283.100006103516,"Ecatepec de Morelos","Estado De México",55000,"Correo y puntos de despacho","Mercado Envios","01/09/2022","2022/09/02 00:00:00","2022/09/03 00:00:00"
"2000003788308811",1,185,-67.0999984741211,-105,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Mazatlán","Sinaloa",82139,"Mercado Envíos Full","Mercado Envios","01/09/2022","2022/09/01 00:00:00","2022/09/02 00:00:00"
"2000004139502196",1,185,-67.0999984741211,-94,117.900001525879,"No","MLM797896213","Mercado Libre",185,"El Marques","Querétaro",76267,"Mercado Envíos Full","Mercado Envios","01/09/2022","2022/09/02 00:00:00","2022/09/02 00:00:00"
"2000004137957058",1,185,-67.0999984741211,-129,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Tijuana","Baja California",22245,"Mercado Envíos Full","Mercado Envios","01/09/2022","2022/09/01 00:00:00","2022/09/02 00:00:00"
"2000003786722739",1,185,-67.0999984741211,0,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Tangancicuaro","Michoacán",59750,"Mercado Envíos Full","Mercado Envios","31/08/2022","2022/09/01 00:00:00","2022/09/02 00:00:00"
"2000003786162741",3,555.75,-201.490005493164,0,354.260009765625,"No","MLM803274004","Mercado Libre",185.25,"San Francisco De Borja","Chihuahua",33160,"Correo y puntos de despacho","Mercado Envios","31/08/2022","2022/09/01 00:00:00","2022/09/05 00:00:00"
"2000004133951648",1,261.25,-84.4599990844727,-99,176.789993286133,"Sí","MLM774183442","Mercado Libre",261.25,"Reynosa","Tamaulipas",88795,"Correo y puntos de despacho","Mercado Envios","31/08/2022","2022/09/01 00:00:00","2022/09/02 00:00:00"
"2000003785705643",1,155,-60.2799987792969,0,94.7200012207031,"Sí","MLM797897673","Mercado Libre",155,"El Marques","Querétaro",76246,"Mercado Envíos Full","Mercado Envios","31/08/2022","2022/09/01 00:00:00","2022/09/01 00:00:00"
"2000004133535936",1,185,-67.0999984741211,-97,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"San Miguel El Alto","Jalisco",47144,"Mercado Envíos Full","Mercado Envios","31/08/2022","2022/08/31 00:00:00","2022/09/01 00:00:00"
"2000003785605367",1,155,-60.2799987792969,-98,94.7200012207031,"No","MLM797897673","Mercado Libre",155,"Amatlan De Los Reyes","Veracruz",94945,"Mercado Envíos Full","Mercado Envios","31/08/2022","2022/08/31 00:00:00","2022/09/01 00:00:00"
"2000004133122208",1,185,-67.0999984741211,-98,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Comonfort","Guanajuato",38204,"Mercado Envíos Full","Mercado Envios","31/08/2022","2022/09/01 00:00:00","2022/09/01 00:00:00"
"2000003785102589",1,185,-67.0999984741211,0,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Mineral De La Reforma","Hidalgo",42185,"Mercado Envíos Full","Mercado Envios","31/08/2022","2022/09/01 00:00:00","2022/09/01 00:00:00"
"2000004131705108",1,155,-60.2799987792969,-89,94.7200012207031,"Sí","MLM797897673","Mercado Libre",155,"Atizapán De Zaragoza","Estado De México",52960,"Mercado Envíos Full","Mercado Envios","31/08/2022","2022/08/31 00:00:00","2022/08/31 00:00:00"
"2000003784341227",2,370,-134.210006713867,0,235.789993286133,"Sí","MLM797896213","Mercado Libre",185,"Jacona","Michoacán",59828,"Mercado Envíos Full","Mercado Envios","31/08/2022","2022/08/31 00:00:00","2022/09/02 00:00:00"
"2000004129807926",1,185,-67.0999984741211,-97,117.900001525879,"No","MLM797896213","Mercado Libre",185,"Guadalupe","Nuevo León",67154,"Mercado Envíos Full","Mercado Envios","30/08/2022","2022/08/31 00:00:00","2022/09/01 00:00:00"
"2000003784036365",3,555,-201.309997558594,0,353.690002441406,"Sí","MLM797896213","Mercado Libre",185,"Querétaro","Querétaro",76117,"Mercado Envíos Full","Mercado Envios","30/08/2022","2022/08/31 00:00:00","2022/08/31 00:00:00"
"2000004126490646",1,185,-67.0999984741211,-98,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Centro","Tabasco",86290,"Mercado Envíos Full","Mercado Envios","30/08/2022","2022/08/30 00:00:00","2022/08/31 00:00:00"
"2000004126079462",1,185,-67.0999984741211,-99,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Coyoacán","Distrito Federal",4369,"Mercado Envíos Full","Mercado Envios","30/08/2022","2022/08/30 00:00:00","2022/08/30 00:00:00"
"2000003782160511",1,185,-67.0999984741211,0,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Puente De Ixtla","Morelos",62664,"Mercado Envíos Full","Mercado Envios","30/08/2022","2022/08/30 00:00:00","2022/09/01 00:00:00"
"2000004125165474",1,155,-60.2799987792969,-105,94.7200012207031,"Sí","MLM797897673","Mercado Libre",155,"Colima","Colima",28000,"Mercado Envíos Full","Mercado Envios","30/08/2022","2022/08/30 00:00:00","2022/08/31 00:00:00"
"2000003781664931",2,370,-134.210006713867,0,235.789993286133,"Sí","MLM797896213","Mercado Libre",185,"Mazatlán","Sinaloa",82134,"Mercado Envíos Full","Mercado Envios","29/08/2022","2022/08/30 00:00:00","2022/08/31 00:00:00"
"2000003781543363",2,370,-134.210006713867,0,235.789993286133,"Sí","MLM797896213","Mercado Libre",185,"Xalapa","Veracruz",91180,"Mercado Envíos Full","Mercado Envios","29/08/2022","2022/08/30 00:00:00","2022/08/31 00:00:00"
"2000003781520797",2,350,-129.660003662109,-20,220.339996337891,"Sí","MLM775876787","Mercado Libre",175,"Xalapa","Veracruz",91180,"Mercado Envíos Full","Mercado Envios","29/08/2022","2022/08/30 00:00:00","2022/08/31 00:00:00"
"2000003780793689",2,310,-120.550003051758,-19.2000007629395,189.449996948242,"Sí","MLM797897673","Mercado Libre",155,"Zacatlan","Puebla",73310,"Mercado Envíos Full","Mercado Envios","29/08/2022","2022/08/30 00:00:00","2022/08/30 00:00:00"
"2000003781317123",1,175,-64.8300018310547,0,110.169998168945,"No","MLM775876787","Mercado Libre",175,"Tapachula","Chiapas",30785,"Mercado Envíos Full","Mercado Envios","29/08/2022","2022/08/30 00:00:00","2022/09/01 00:00:00"
"2000004123188264",1,185,-67.0999984741211,-97,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Guadalajara","Jalisco",44390,"Mercado Envíos Full","Mercado Envios","29/08/2022","2022/08/30 00:00:00","2022/08/31 00:00:00"
"2000003781063085",2,310,-120.550003051758,-24.2000007629395,189.449996948242,"Sí","MLM797897673","Mercado Libre",155,"Torreón","Coahuila",27023,"Mercado Envíos Full","Mercado Envios","29/08/2022","2022/08/29 00:00:00","2022/08/30 00:00:00"
"2000004122281528",1,185,-67.0999984741211,-98,117.900001525879,"No","MLM797896213","Mercado Libre",185,"Altamira","Tamaulipas",89603,"Mercado Envíos Full","Mercado Envios","29/08/2022","2022/08/29 00:00:00","2022/08/30 00:00:00"
"2000003779188159",1,185,-67.0999984741211,0,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Venustiano Carranza","Distrito Federal",15300,"Mercado Envíos Full","Mercado Envios","28/08/2022","2022/08/29 00:00:00","2022/08/29 00:00:00"
"2000003778368699",1,185,-67.0999984741211,-115,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Chihuahua","Chihuahua",31060,"Mercado Envíos Full","Mercado Envios","28/08/2022","2022/08/29 00:00:00","2022/08/30 00:00:00"
"2000003778544135",1,155,-60.2799987792969,0,94.7200012207031,"Sí","MLM797897673","Mercado Libre",155,"Mazatlán","Sinaloa",82127,"Mercado Envíos Full","Mercado Envios","28/08/2022","2022/08/28 00:00:00","2022/08/29 00:00:00"
"2000004116559156",1,295,-92.129997253418,-94,202.869995117188,"No","MLM937274388","Mercado Libre",295,"Toluca","Estado De México",50130,"Mercado Envíos Full","Mercado Envios","28/08/2022","2022/08/29 00:00:00","2022/08/29 00:00:00"
"2000003778392567",1,155,-60.2799987792969,-20.2999992370605,94.7200012207031,"Sí","MLM797897673","Mercado Libre",155,"Chihuahua","Chihuahua",31125,"Mercado Envíos Full","Mercado Envios","28/08/2022","2022/08/28 00:00:00","2022/08/29 00:00:00"
"2000003778310377",2,310,-120.550003051758,-19.2000007629395,189.449996948242,"No","MLM797897673","Mercado Libre",155,"Querétaro","Querétaro",76086,"Mercado Envíos Full","Mercado Envios","28/08/2022","2022/08/29 00:00:00","2022/08/29 00:00:00"
"2000004115716112",1,185,-67.0999984741211,-89,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Iztacalco","Distrito Federal",8900,"Mercado Envíos Full","Mercado Envios","28/08/2022","2022/08/29 00:00:00","2022/08/29 00:00:00"
"2000003777599411",1,185,-65.5999984741211,0,119.400001525879,"No","MLM797896213","Mercado Libre",185,"Naucalpan","Estado De México",53100,"Mercado Envíos Full","Mercado Envios","27/08/2022","2022/08/28 00:00:00","2022/08/28 00:00:00"
"2000004114204534",1,185,-67.0999984741211,-97,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Tlajomulco De Zúñiga","Jalisco",45653,"Mercado Envíos Full","Mercado Envios","27/08/2022","2022/08/28 00:00:00","2022/08/29 00:00:00"
"2000003777127425",2,310,-120.550003051758,0,189.449996948242,"Sí","MLM797897673","Mercado Libre",155,"Santa Ana","Sonora",84603,"Mercado Envíos Full","Mercado Envios","27/08/2022","2022/08/27 00:00:00","2022/08/29 00:00:00"
"2000003777148549",1,185,-67.0999984741211,-89.1999969482422,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Mexicali","Baja California",21290,"Mercado Envíos Full","Mercado Envios","27/08/2022","2022/08/27 00:00:00","2022/08/28 00:00:00"
"2000003776997531",3,525,-194.490005493164,0,330.510009765625,"No","MLM775876787","Mercado Libre",175,"Salamanca","Guanajuato",36783,"Mercado Envíos Full","Mercado Envios","27/08/2022","2022/08/28 00:00:00","2022/08/28 00:00:00"
"2000004112953306",1,185,-67.0999984741211,-94,117.900001525879,"No","MLM797896213","Mercado Libre",185,"Querétaro","Querétaro",76000,"Mercado Envíos Full","Mercado Envios","27/08/2022","2022/08/28 00:00:00","2022/08/28 00:00:00"
"2000003776707789",2,350,-129.660003662109,0,220.339996337891,"No","MLM775876787","Mercado Libre",175,"Juanacatlan","Jalisco",45880,"Mercado Envíos Full","Mercado Envios","27/08/2022","2022/08/27 00:00:00","2022/08/29 00:00:00"
"2000003776495589",2,370,-134.210006713867,0,235.789993286133,"No","MLM797896213","Mercado Libre",185,"Tlaxcala","Tlaxcala",90110,"Mercado Envíos Full","Mercado Envios","27/08/2022","2022/08/28 00:00:00","2022/08/28 00:00:00"
"2000004111126760",1,155,-60.2799987792969,-89,94.7200012207031,"Sí","MLM797897673","Mercado Libre",155,"Tecamac","Estado De México",55764,"Mercado Envíos Full","Mercado Envios","27/08/2022","2022/08/28 00:00:00","2022/08/28 00:00:00"
"2000003775635991",1,185,-67.0999984741211,0,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Jungapeo","Michoacán",61470,"Mercado Envíos Full","Mercado Envios","26/08/2022","2022/08/26 00:00:00","2022/08/28 00:00:00"
"2000003775218915",1,175,-64.8300018310547,-129,110.169998168945,"No","MLM775876787","Mercado Libre",175,"Tijuana","Baja California",22254,"Mercado Envíos Full","Mercado Envios","26/08/2022","2022/08/26 00:00:00","2022/08/27 00:00:00"
"2000003775162909",1,185,-67.0999984741211,0,117.900001525879,"No","MLM797896213","Mercado Libre",185,"Cuautitlan","Estado De México",54803,"Mercado Envíos Full","Mercado Envios","26/08/2022","2022/08/27 00:00:00","2022/08/27 00:00:00"
"2000003775086695",2,370,-134.210006713867,-35.4000015258789,235.789993286133,"Sí","MLM797896213","Mercado Libre",185,"Cuauhtémoc","Chihuahua",31533,"Mercado Envíos Full","Mercado Envios","26/08/2022","2022/08/26 00:00:00","2022/08/29 00:00:00"
"2000004107946478",1,185,-67.0999984741211,-89,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Cuauhtémoc","Distrito Federal",6140,"Mercado Envíos Full","Mercado Envios","26/08/2022","2022/08/27 00:00:00","2022/08/27 00:00:00"
